writeFailed "´×°: ¹Þ°ÑÌ«ÙÀÞÊ ÖÐÄØ¾ÝÖ³ÃÞ½



"tutorial_move "W A S D (I J K L) ·°ÃÞ ²ÄÞ³"

tutorial_shoot "¶°¿ÙÃÞ È×¯Ã ¸Ø¯¸ ¶ Space ·°ÃÞ ¼®¯Ä"

tutorial_structure "[±¯Á] Ê ²Ï ±ÅÀ¶Þ Å¶Æ Ê²¯Ã²Ù ±²Ã ÃÞ½¡[º¯Á] Ê ±ÅÀ ÃÞ½##³´Æ ±¶ÞÙÎÄÞ ÚÍÞÙ¶Þ ±¯Ìß ¼Ï½"

tutorial_insideMarker "[±¯Á]"

tutorial_youMarker "[º¯Á]"

tutorial_scoreMarker "[½º±]"

tutorial_tokens       "Å¶ÃÞ ±ÂÒÀ ±²ÃÑÃÞ ÎÝÀ²Ê ÍÝ¶¼Ï½"

tutorial_useTokens    "ºÚÃÞ Å¶ÃÞ ±ÂÒÀ ±²ÃÑ¶Þ Â¶´Ï½"

tutorial_enter1 "Shift ·° ¦ µ¼Å¶Þ× Ï³½¦ ³ºÞ¶¼Ã Å¶Æ Ê²ØÏ½"

tutorial_enter2 "ÄÞÝÅ ÓÉÃÞÓ Å¶Æ Ê²ÚÏ½"

tutorial_enter2_self "¼ÞÌÞÝÉ Å¶ÆÓ Ê²ÚÏ½"
tutorial_enter2_enemy "Ã·É Å¶ÆÓ Ê²ÚÏ½"
tutorial_enter2_token "±²ÃÑÉ Å¶ÆÓ Ê²ÚÏ½"

tutorial_gather "±ÂÒÀ ±²ÃÑ..."


tutorial_gather_self  "Å¶ÃÞ ±²ÃÑ¦ ±ÂÒÙÄ ÎÝÀ²Ê ÍÝ¶¼Ï½"

tutorial_gather_enemy "Å¶ÃÞ ±²ÃÑ¦ ±ÂÒÙÄ Ã·Ê ÍÝ¶¼Ï½"

tutorial_gather_token "Å¶ÃÞ ±²ÃÑ¦ ±ÂÒÙÄ ±²ÃÑÊ ²ÁÊÞÝµµ² ±²ÃÑÆ ÍÝ¶ ¼Ï½##»×Æ ±²ÃÑÉ Å¶É ±²ÃÑÆ Ê²¯Ã ±²ÃÑÉ ÊßÜ°¦ ±¹ÞÚÏ½¶Þ ÅÝ²ÄÞÓ ±¶ÞØÏ½"

tutorial_done "ºÚÃÞ ¾ÂÒ²Ê µÜØÃÞ½"


tutorial_bug_flag  "Á­°ÄØ±ÙÃÞ ÌÒ²Å ÊÞ¸Þ¶Þ Ê¯¾² ¼Ï¼À##Jason Æ ÚÎß°Ä¦ ¿³¼Ý ¼Ã¸ÀÞ»²"




pauseMessage1 "Enter ·° ÃÞ »²¶²¼Ï½"

pauseMessage2 "Ó¼Þ¦ Æ­³Ø®¸ ½ÙºÄÓ ÃÞ·Ï½"

pauseMessage3 "% ÃÞ ¼­³Ø®³ ¼Ï½"

